,file,cell,length,burst,tonic,silent,numbursts,burst_length_cv,ibi_cv,spikespburst,spikespburst_cv,burst_length,ibi_length,tonic_isi,tonic_isi_cv
15505001,15505001,6/7,120099.9,0.0,0.0710466311795,0.92895336882,,,,,,,,0.1045,0.58010613339
15220013,15220013,NK,485949.99999999994,0.000859641909464,0.0399738664472,0.959166491643,46,0.694349848077,2.26346039008,22.9782608696,0.914154542866,4.4130913913,6.05609333333,,
15o20003,15o20003,14/30,300000.0,0.0,0.0860214756667,0.913978524333,,,,,,,,0.1495,0.579277988307
15o08001,15o08001,6/7,60000.0,0.0,0.338310373333,0.661689626667,,,,,,,,0.0505,0.583038586544
15826039,15826039,1b,93235.2,0.0,0.0280473587229,0.971952641277,,,,,,,,0.046,0.583592075122
15o12007,15o12007,6/7/14/30,86835.2,0.0,0.0,1.0,,,,,,,,0.0425,0.58410313352
15316011,15316011,NK,120000.0,0.0,0.648410678333,0.351589321667,,,,,,,,0.257,0.578472428206
15o20007,15o20007,14/30,300000.0,0.000937874444444,0.561539124667,0.437523000889,16,0.185588194742,0.511966877042,107.9375,0.307350716409,5.27554375,13.6111,2.6615,0.577458722327
15319009,15319009,NK,123950.0,0.0,0.0049635385236,0.995036461476,,,,,,,,0.061,0.582063410813
15807002,15807002,6/7,60000.0,0.00361783333333,0.420915981667,0.575466185,14,1.16015048777,0.557959297992,17.6428571429,1.29456567118,0.9303,0.354630769231,0.4665,0.577968748498
15821037,15821037,1b/6/7,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15305000,15305000,NK,73350.0,0.0,0.940137475119,0.0598625248807,,,,,,,,1.0145,0.577634748275
15623000,15623000,NK,120000.0,0.0,0.0,1.0,,,,,,,,0.0595,0.582181736427
15821019,15821019,1s,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15o08000,15o08000,6/7,60000.0,0.0,0.764037298333,0.235962701667,,,,,,,,0.1395,0.579415929703
15o13002,15o13002,1s,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15216013,15216013,NK,87200.0,0.0,0.844257213303,0.155742786697,,,,,,,,0.3285,0.578228368966
15827014,15827014,1b/6/7,60000.0,0.0,0.0,1.0,,,,,,,,0.0295,0.587054314661
15722003,15722003,1b,120000.0,0.00786291,0.0213722816667,0.970764808333,17,0.542823794444,0.417331438601,128.0,0.517688884167,6.66034729412,0.3629,,
15420000,15420000,1b/6/7,299900.0,0.0,0.22312267856,0.77687732144,,,,,,,,0.6515,0.577793192361
